id;pembuat;pasir;batu;air
1;jin6;5;1;3
2;jin6;5;1;3
3;jin6;5;1;3
4;jin6;5;1;3
5;jin6;5;1;3
6;jin6;1;3;2
7;jin6;1;3;2
8;jin6;1;3;2
9;jin6;1;3;2
10;jin6;1;3;2
11;jin6;3;4;1
12;jin6;3;4;1
13;jin6;3;4;1
14;jin6;3;4;1
15;jin6;3;4;1
16;jin6;2;4;2
17;jin6;2;4;2
18;jin6;2;4;2
19;jin6;2;4;2
20;jin6;2;4;2
21;jin6;2;5;2
22;jin6;2;5;2
23;jin6;2;5;2
24;jin6;2;5;2
25;jin6;2;5;2
26;jin6;1;2;5
27;jin6;1;2;5
28;jin6;1;2;5
29;jin6;1;2;5
30;jin6;1;2;5
1;jin6;5;1;3
2;jin6;5;1;3
3;jin6;5;1;3
4;jin6;5;1;3
5;jin6;5;1;3
6;jin6;1;3;2
7;jin6;1;3;2
8;jin6;1;3;2
9;jin6;1;3;2
10;jin6;1;3;2
11;jin6;3;4;1
12;jin6;3;4;1
13;jin6;3;4;1
14;jin6;3;4;1
15;jin6;3;4;1
16;jin6;2;4;2
17;jin6;2;4;2
18;jin6;2;4;2
19;jin6;2;4;2
20;jin6;2;4;2
21;jin6;2;5;2
22;jin6;2;5;2
23;jin6;2;5;2
24;jin6;2;5;2
25;jin6;2;5;2
26;jin6;1;2;5
27;jin6;1;2;5
28;jin6;1;2;5
29;jin6;1;2;5
30;jin6;1;2;5
1;jin6;5;1;3
2;jin6;5;1;3
3;jin6;5;1;3
4;jin6;5;1;3
5;jin6;5;1;3
6;jin6;1;3;2
7;jin6;1;3;2
8;jin6;1;3;2
9;jin6;1;3;2
10;jin6;1;3;2
11;jin6;3;4;1
12;jin6;3;4;1
13;jin6;3;4;1
14;jin6;3;4;1
15;jin6;3;4;1
16;jin6;2;4;2
17;jin6;2;4;2
18;jin6;2;4;2
19;jin6;2;4;2
20;jin6;2;4;2
21;jin6;2;5;2
22;jin6;2;5;2
23;jin6;2;5;2
24;jin6;2;5;2
25;jin6;2;5;2
26;jin6;1;2;5
27;jin6;1;2;5
28;jin6;1;2;5
29;jin6;1;2;5
30;jin6;1;2;5
1;jin6;5;1;3
2;jin6;5;1;3
3;jin6;5;1;3
4;jin6;5;1;3
5;jin6;5;1;3
6;jin6;1;3;2
7;jin6;1;3;2
8;jin6;1;3;2
9;jin6;1;3;2
10;jin6;1;3;2
